     287  ! Number of wavelengths
n_imag = 5e-5
Wavelength (nm), R_diff (r=0.1 micron), R_diff(r=1 micron)
      521.000   0.00222945  -0.00481180
      522.000   0.00246637  -0.00450376
      523.000   0.00254163  -0.00450359
      524.000   0.00248329  -0.00474165
      525.000   0.00220999  -0.00532061
      526.000   0.00174399  -0.00609171
      527.000   0.00159525  -0.00636165
      528.000   0.00148095  -0.00655463
      529.000   0.00172435  -0.00626513
      530.000   0.00211985  -0.00573170
      531.000   0.00257190  -0.00500440
      532.000   0.00301014  -0.00407769
      533.000   0.00344404  -0.00299573
      534.000   0.00357103  -0.00221353
      535.000   0.00364741  -0.00132111
      536.000   0.00334156 -0.000581397
      537.000   0.00275471 -0.000157103
      538.000   0.00206365  6.01494e-05
      539.000   0.00148506  0.000117530
      540.000  0.000949761  0.000100403
      541.000  0.000496914  4.95420e-05
      542.000  0.000237886  1.48138e-05
      543.000  0.000186970  5.90973e-06
      544.000  0.000350019  3.93254e-05
      545.000   0.00100314  0.000140169
      546.000   0.00247368  0.000113275
      547.000   0.00411136 -0.000729143
      548.000   0.00442389  -0.00261238
      549.000   0.00368749  -0.00457240
      550.000   0.00293011  -0.00570021
      551.000   0.00262294  -0.00606346
      554.000   0.00356297  -0.00496132
      557.000   0.00444156  -0.00375034
      560.000   0.00427458  -0.00411878
      563.000   0.00465415  -0.00343684
      566.000   0.00518382  -0.00190394
      569.000   0.00483742 -0.000421943
      572.000   0.00395190  0.000270684
      575.000   0.00239173  0.000454271
      578.000   0.00290157  0.000501226
      605.000   0.00635325  0.000909227
      608.000   0.00388190   0.00104232
      611.000   0.00168718  0.000586442
      614.000  3.49962e-05  6.27975e-06
      617.000 -4.10004e-07 -7.99106e-06
      620.000 -1.45378e-06 -1.13489e-05
      623.000  6.68344e-06 -1.39252e-05
      626.000   0.00149521  0.000567192
      629.000   0.00608485   0.00166723
      632.000   0.00773620   0.00170932
      635.000   0.00783615   0.00190713
      638.000   0.00720641   0.00209119
      642.000   0.00506340   0.00183275
      645.000   0.00535349   0.00197411
      648.000   0.00476576   0.00186703
      651.000   0.00337057   0.00142795
      654.000   0.00240206   0.00105764
      657.000   0.00112384  0.000518356
      660.000  0.000788321  0.000375842
      663.000  0.000400029  0.000197546
      666.000  0.000203453  9.81801e-05
      669.000  0.000291140  0.000149090
      672.000   0.00154976  0.000781277
      675.000   0.00506197   0.00240883
      678.000   0.00701743   0.00327116
      681.000   0.00413888   0.00208688
      684.000   0.00231393   0.00123285
      687.000   0.00362165   0.00192911
      690.000   0.00497679   0.00264853
      693.000   0.00481730   0.00262223
      696.000   0.00194152   0.00112426
      699.000  0.000237727  0.000146213
      702.000  1.24985e-05  7.72515e-06
      705.000  2.93975e-05  1.84012e-05
      708.000  0.000284872  0.000175042
      711.000  0.000987319  0.000613271
      714.000  0.000981070  0.000611399
      717.000  5.46198e-06  3.68478e-06
      720.000  9.83719e-07 -9.09941e-07
      723.000  2.21198e-07  1.22888e-07
      726.000  7.45856e-07 -5.21111e-07
      729.000  8.85946e-08  5.06255e-08
      733.000  1.71473e-07  9.07801e-08
      736.000  1.05832e-06 -7.42859e-07
      739.000  6.33358e-05  4.36611e-05
      742.000   0.00185932   0.00131501
      745.000   0.00466309   0.00328477
      748.000   0.00491134   0.00350959
      751.000   0.00503003   0.00363865
      754.000   0.00534003   0.00391143
      757.000   0.00393506   0.00293477
      760.000   0.00189966   0.00144300
      763.000  0.000540446  0.000417763
      766.000  0.000246273  0.000192651
      769.000  0.000276549  0.000218601
      772.000  0.000136423  0.000109014
      775.000  2.71460e-05  2.18436e-05
      778.000  3.97822e-06  3.19386e-06
      781.000  5.04419e-07  3.68396e-07
      784.000  2.19474e-07  1.59617e-07
      787.000  2.52499e-07  1.87247e-07
      790.000  8.26500e-08  6.84000e-08
      793.000  2.73650e-07  2.03031e-07
      796.000  5.84490e-08  3.79918e-08
      802.000  2.94679e-09  2.94679e-09
      805.000  4.77369e-08  3.87862e-08
      808.000  1.69919e-06  1.52599e-06
      811.000  9.82683e-06  8.90146e-06
      814.000  0.000121162  0.000111519
      817.000  0.000595141  0.000559734
      821.000   0.00224497   0.00217819
      824.000   0.00291353   0.00287688
      827.000   0.00297027   0.00297540
      830.000   0.00447083   0.00455818
